카드명,설명,혜택1,혜택2,혜택3,세부혜택,교통,뷰티,영화,카페,쇼핑,편의점,배달,야구,도서,놀이공원/공연,ott,통신,합계,Cluster
KBO 제휴 신한카드 MY KBO 체크,전가맹점 최대 0.2% 적립 및 전구단 야구할인,가맹점 포인트 0.2% 적립,야구 할인 2천원 할인,신한은행 우대 서비스,포인트 적립 야구 할인 신한은행 우대 서비스 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6
CJ ONE 신한카드 체크,CJ ONE 멤버십 기능에 신한 체크카드만의 특별한 혜택까지!,영화 5~7천원 캐시백,올리브영 10% 캐시백 및 CJ ONE 포인트 5% 추가적립,레스토랑/베이커리 10% 캐시백,영화 캐시백 쇼핑 캐시백 식음료 캐시백 통합캐시백한도 ,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4
다이소 신한카드 체크,"다이소 20%, 생활 10%, 영화 20% 캐시백",다이소 20% 캐시백,생활 10% 캐시백,영화 20% 캐시백,다이소 캐시백 편의점 캐시백 스타벅스 캐시백 영화 캐시백 통합캐시백한도 ,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
쿠팡 신한카드 체크,쿠팡 이용금액 3% 적립에 스타벅스 이용금액 캐시백까지!,쿠팡캐시 3% 적립,스타벅스 10% 캐시백,없음,쿠팡 적립 스타벅스 캐시백 ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
리디 신한카드 체크,전자책 서점 리디북스 10% 캐시백,리디북스 10% 할인,영화 10% 할인,영푸드 10% 할인,리디북스 할인 영화 할인 영푸드 할인 통합할인한도 ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4
청년동행 신한카드 Deep Dream 체크,속 깊은 디지털 라이프!,전월실적/한도없이 포인트 적립,주유 적립 택시 할인,신한 금융그룹 서비스 수수료 우대,모두드림 더해드림 챙겨드림 DREAM 영역 아껴드림 통합적립한도 신한 금융그룹 서비스 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 JYP Fan’s EDM 체크,난치병 아이들의 꿈을 이뤄주는 기부카드,콘서트/공연예매 5% 캐시백,대중교통 3% 캐시백,편의점/올리브영 5% 캐시백,Brand Story 콘서트 예매 캐시백 음원/스트리밍 캐시백 생활편의 캐시백 해외이용 캐시백 Platinum ,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5
청년취업 FANtastic S 신한카드 체크,국내/해외 판타스틱한 혜택에 FAN페이 캐시백까지!,간편결제 15% 캐시백,편의점(CU) 10% 캐시백,스타벅스 10% 캐시백,간편결제 캐시백 소셜커머스 캐시백 편의점 캐시백 커피 캐시백 해외이용 캐시백 금리우대 서비스 통합 캐시백한도 Platinum ,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
SOL Deep Dream 신한카드 체크,속 깊은 디지털 라이프!,국내 전가맹점 0.2% 적립,Dream 영역 최대 1% 적립,반겨드림 포인트 3천 포인트 적립,모두드림 더해드림 챙겨드림 DREAM 영역 아껴드림 통합적립한도 신한 금융그룹 서비스 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
KT 신한카드 체크,"KT 통신요금 5천원, GS25 5%, CGV 10% 캐시백",KT 통신요금 월 최대 5천원 캐시백,GS25 5% 캐시백,CGV 10% 캐시백,통신요금 캐시백 편의점 캐시백 영화 캐시백 ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2
알뜰교통 신한카드 S20 체크,가볍고 편해지는 발걸음~ 대중교통 요금 10% 할인,대중교통 마일리지 적립,생활편의 캐시백,도서/어학/요식 캐시백,알뜰 마일리지 적립 대중교통 캐시백 생활편의 캐시백 도서/어학 캐시백 요식 캐시백 테마파크/영화 캐시백 통합캐시백 한도 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3
신한카드 TEENS(틴즈) PLUS PONEY 체크 후불교통,청소년도 후불교통으로 대중교통을 스마트하고 편리하게 이용하세요!,영화 2천원 할인,테마파크 50% 할인,베이커리/영푸드 5% 캐시백,영화 할인 테마파크 할인 영푸드 캐시백 서비스 상세기준 ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4
